x_squared,xy,y_squared,x_plus_y,x_plus_2y
64.1,47.09,34.59,13.89,19.77
6.19,11.24,20.4,7.01,11.52
0.23,3.91,65.59,8.58,16.68
67.59,46.07,31.4,13.83,19.43
0.0,0.19,42.86,6.58,13.12
52.8,37.63,26.81,12.44,17.62
5.58,17.24,53.25,9.66,16.96
3.2,8.18,20.92,6.36,10.94
0.02,0.1,0.66,0.94,1.75
4.23,3.07,2.23,3.55,5.05
4.34,16.54,63.06,10.02,17.96
86.82,91.22,95.85,19.11,28.9
26.35,5.25,1.05,6.16,7.18
30.67,30.16,29.65,10.98,16.43
17.36,30.11,52.24,11.39,18.62
20.26,37.18,68.22,12.76,21.02
0.0,0.04,20.94,4.58,9.16
6.6,23.33,82.51,11.65,20.74
33.45,13.9,5.78,8.19,10.59
29.23,43.99,66.2,13.54,21.68
19.41,39.6,80.81,13.39,22.38
0.0,0.43,97.79,9.93,19.82
5.47,18.14,60.11,10.09,17.84
11.64,13.22,15.01,7.29,11.16
5.33,18.69,65.52,10.4,18.5
8.85,16.25,29.83,8.44,13.9
56.13,7.66,1.05,8.51,9.54
49.3,54.96,61.26,14.85,22.68
10.62,23.61,52.5,10.5,17.75
0.41,2.34,13.32,4.29,7.94
0.33,0.65,1.27,1.7,2.83
2.98,10.27,35.43,7.68,13.63
69.88,75.02,80.54,17.33,26.31
25.28,27.06,28.97,10.41,15.79
65.26,70.48,76.1,16.8,25.53
3.37,7.19,15.34,5.75,9.67
4.77,19.29,78.04,11.02,19.85
92.64,34.11,12.56,13.17,16.71
2.61,11.36,49.33,8.64,15.66
63.91,7.21,0.81,8.9,9.8
71.33,6.02,0.51,9.16,9.87
0.04,1.83,87.37,9.54,18.89
3.36,8.39,20.94,6.41,10.99
0.32,3.65,42.0,7.04,13.52
3.7,9.18,22.74,6.69,11.46
0.22,1.08,5.32,2.77,5.08
51.85,11.15,2.4,8.75,10.3
33.69,2.34,0.16,6.21,6.61
6.76,13.97,28.85,7.97,13.34
99.14,73.31,54.2,17.32,24.68
2.36,1.09,0.5,2.25,2.95
26.89,37.05,51.04,12.33,19.47
75.57,71.21,67.11,16.88,25.08
39.43,7.09,1.28,7.41,8.54
90.83,53.88,31.97,15.18,20.84
52.69,30.51,17.67,11.46,15.67
3.89,18.79,90.74,11.5,21.02
94.28,0.92,0.01,9.8,9.9
0.22,1.6,11.76,3.9,7.33
32.14,31.55,30.96,11.23,16.8
63.08,47.13,35.22,13.88,19.81
82.74,80.08,77.5,17.9,26.7
2.9,1.6,0.88,2.64,3.58
74.57,6.84,0.63,9.43,10.22
83.53,29.04,10.1,12.32,15.49
16.07,35.09,76.61,12.76,21.51
17.7,25.81,37.64,10.34,16.48
17.03,17.27,17.52,8.31,12.5
30.27,25.88,22.13,10.21,14.91
7.93,8.72,9.59,5.91,9.01
10.56,14.69,20.42,7.77,12.29
0.0,0.03,0.72,0.89,1.74
2.43,13.66,76.83,10.32,19.09
1.15,5.71,28.25,6.39,11.7
45.7,13.29,3.86,8.73,10.69
24.58,34.5,48.44,11.92,18.88
7.87,8.41,9.0,5.8,8.8
11.18,16.04,23.01,8.14,12.94
28.44,4.18,0.61,6.12,6.9
46.25,31.53,21.49,11.44,16.07
73.88,32.98,14.73,12.43,16.27
66.58,12.86,2.48,9.74,11.31
22.97,6.25,1.7,6.1,7.4
37.22,17.18,7.93,8.92,11.73
54.89,32.59,19.36,11.81,16.21
79.07,71.53,64.7,16.94,24.98
3.52,1.01,0.29,2.41,2.95
63.13,69.73,77.02,16.72,25.5
59.24,54.22,49.63,14.74,21.79
29.72,42.46,60.66,13.24,21.03
78.29,35.94,16.49,12.91,16.97
5.71,20.77,75.49,11.08,19.77
4.62,16.8,61.07,9.96,17.78
23.93,42.92,76.99,13.67,22.44
2.12,3.95,7.36,4.17,6.88
0.01,0.57,59.6,7.79,15.51
16.43,40.19,98.34,13.97,23.89
17.84,3.49,0.68,5.05,5.88
1.15,6.21,33.58,6.87,12.66
76.1,67.06,59.09,16.41,24.1
9.79,21.04,45.21,9.85,16.58
12.3,16.43,21.93,8.19,12.87
84.96,91.38,98.29,19.13,29.05
1.04,5.88,33.2,6.78,12.54
12.83,5.74,2.57,5.18,6.79
1.15,6.07,32.05,6.73,12.4
35.23,34.99,34.75,11.83,17.72
1.23,3.84,12.01,4.57,8.04
0.62,7.29,85.64,10.04,19.3
55.61,12.03,2.6,9.07,10.68
0.13,1.19,10.81,3.65,6.94
16.26,28.69,50.63,11.15,18.26
0.44,0.38,0.33,1.23,1.8
84.41,33.86,13.59,12.87,16.56
37.47,2.41,0.15,6.51,6.91
3.57,8.66,21.04,6.48,11.06
45.5,9.33,1.92,8.13,9.51
41.71,34.15,27.95,11.75,17.03
47.08,0.2,0.0,6.89,6.92
16.76,5.32,1.69,5.39,6.69
34.78,1.91,0.11,6.22,6.55
68.73,49.66,35.88,14.28,20.27
5.98,12.74,27.18,7.66,12.87
46.23,25.26,13.81,10.52,14.23
53.19,66.19,82.36,16.37,25.44
40.92,25.4,15.76,10.37,14.34
10.78,18.22,30.78,8.83,14.38
63.88,45.29,32.1,13.66,19.32
23.87,34.17,48.91,11.88,18.87
69.63,80.9,93.99,18.04,27.73
7.34,23.45,74.9,11.36,20.02
1.23,2.87,6.73,3.7,6.3
75.77,84.38,93.96,18.4,28.09
54.96,40.83,30.33,12.92,18.43
23.13,26.15,29.56,10.25,15.68
89.25,8.98,0.9,10.4,11.35
46.67,5.41,0.63,7.62,8.41
49.75,64.83,84.48,16.24,25.44
65.32,7.5,0.86,9.01,9.94
6.22,2.65,1.13,3.56,4.62
52.91,19.99,7.55,10.02,12.77
28.35,31.61,35.26,11.26,17.2
0.07,0.26,0.96,1.25,2.23
34.89,55.57,88.49,15.31,24.72
30.59,39.51,51.02,12.67,19.82
3.03,15.63,80.62,10.72,19.7
48.1,63.82,84.67,16.14,25.34
74.44,38.36,19.77,13.07,17.52
62.45,25.46,10.38,11.12,14.35
33.1,27.17,22.3,10.48,15.2
24.74,17.13,11.86,8.42,11.86
10.32,0.17,0.0,3.27,3.32
49.48,15.61,4.93,9.25,11.47
5.95,0.96,0.15,2.83,3.22
20.92,27.49,36.13,10.58,16.6
3.63,6.87,13.0,5.51,9.12
32.06,52.94,87.42,15.01,24.36
89.92,46.85,24.41,14.42,19.36
6.39,24.18,91.5,12.09,21.66
11.09,22.95,47.49,10.22,17.11
34.06,20.26,12.06,9.31,12.78
26.16,17.43,11.61,8.52,11.93
9.64,22.21,51.19,10.26,17.41
48.44,66.0,89.91,16.44,25.92
27.77,21.48,16.61,9.35,13.42
9.69,1.52,0.24,3.6,4.09
33.56,47.48,67.16,13.99,22.18
7.82,15.29,29.89,8.26,13.73
0.04,0.24,1.42,1.39,2.58
61.7,60.85,60.0,15.6,23.35
3.84,12.03,37.66,8.1,14.23
47.69,24.57,12.66,10.46,14.02
74.76,52.75,37.22,14.75,20.85
33.28,43.44,56.71,13.3,20.83
11.04,22.46,45.69,10.08,16.84
9.78,18.2,33.89,8.95,14.77
19.77,4.74,1.14,5.51,6.58
84.41,82.42,80.47,18.16,27.13
33.92,43.49,55.76,13.29,20.76
6.95,6.25,5.61,5.01,7.37
31.18,8.03,2.07,7.02,8.46
63.0,51.89,42.73,14.47,21.01
20.15,40.34,80.75,13.48,22.46
5.1,4.79,4.49,4.38,6.5
57.52,62.5,67.91,15.83,24.07
1.87,1.29,0.89,2.31,3.25
6.01,19.39,62.59,10.36,18.27
16.92,7.67,3.48,5.98,7.84
87.15,43.33,21.54,13.98,18.62
83.98,37.07,16.36,13.21,17.25
10.38,7.77,5.81,5.63,8.04
5.61,8.95,14.28,6.15,9.93
54.91,37.22,25.23,12.43,17.46
1.66,6.2,23.21,6.11,10.92
38.02,16.92,7.53,8.91,11.65
30.58,10.74,3.77,7.47,9.41
13.29,13.87,14.47,7.45,11.25
35.76,38.96,42.45,12.5,19.01
90.23,45.82,23.27,14.32,19.15
2.45,11.1,50.2,8.65,15.74
4.94,14.78,44.25,8.87,15.53
0.07,1.1,16.6,4.34,8.42
46.15,1.3,0.04,6.98,7.17
64.19,45.56,32.33,13.7,19.38
67.98,79.9,93.92,17.94,27.63
90.36,1.83,0.04,9.7,9.89
18.62,23.23,28.96,9.7,15.08
1.14,5.33,24.95,6.06,11.06
35.36,2.85,0.23,6.43,6.9
50.27,9.69,1.87,8.46,9.82
56.27,10.93,2.12,8.96,10.42
3.88,9.59,23.73,6.84,11.71
7.34,4.02,2.2,4.19,5.68
58.2,75.7,98.47,17.55,27.48
20.71,42.49,87.2,13.89,23.23
60.3,47.34,37.16,13.86,19.96
18.56,6.44,2.23,5.8,7.3
33.69,15.91,7.51,8.55,11.29
18.32,4.6,1.15,5.35,6.43
98.81,93.12,87.75,19.31,28.68
27.9,10.92,4.27,7.35,9.42
0.05,0.06,0.08,0.51,0.79
53.4,45.95,39.54,13.6,19.88
37.45,11.98,3.83,8.08,10.04
2.54,13.29,69.56,9.93,18.27
83.67,49.81,29.66,14.59,20.04
60.72,41.52,28.39,13.12,18.45
18.02,22.4,27.85,9.52,14.8
61.79,60.99,60.2,15.62,23.38
50.69,15.62,4.81,9.31,11.51
44.3,29.48,19.62,11.08,15.51
11.19,10.43,9.72,6.46,9.58
28.49,8.92,2.8,7.01,8.68
90.62,34.13,12.85,13.1,16.69
80.92,55.26,37.74,15.14,21.28
11.43,23.75,49.37,10.41,17.43
29.05,9.45,3.08,7.14,8.9
51.51,71.76,99.97,17.18,27.17
6.37,6.52,6.67,5.11,7.69
4.51,18.09,72.56,10.64,19.16
10.98,6.6,3.96,5.3,7.29
54.09,7.43,1.02,8.37,9.38
0.15,0.79,4.15,2.43,4.46
8.58,18.3,39.04,9.18,15.43
12.59,3.97,1.25,4.67,5.78
15.85,8.5,4.56,6.12,8.25
67.78,32.73,15.8,12.21,16.18
89.34,40.0,17.91,13.68,17.92
4.65,1.22,0.32,2.72,3.29
27.58,22.53,18.41,9.54,13.83
24.65,23.16,21.77,9.63,14.3
48.98,19.55,7.81,9.79,12.59
1.29,4.04,12.6,4.69,8.24
14.35,19.56,26.67,8.95,14.12
13.77,13.84,13.91,7.44,11.17
18.89,30.45,49.07,11.35,18.36
79.69,51.75,33.6,14.72,20.52
47.53,28.21,16.74,10.99,15.08
0.07,2.43,79.27,9.18,18.08
0.01,0.08,0.5,0.82,1.53
3.19,5.48,9.4,4.85,7.92
19.21,1.73,0.16,4.78,5.17
7.69,24.14,75.84,11.48,20.19
70.17,51.12,37.25,14.48,20.58
59.77,66.94,74.97,16.39,25.05
30.17,38.98,50.37,12.59,19.69
0.0,0.06,54.16,7.37,14.73
0.01,0.23,3.93,2.1,4.08
19.8,10.64,5.72,6.84,9.23
32.57,7.98,1.95,7.1,8.5
63.82,61.74,59.73,15.72,23.45
72.13,32.47,14.61,12.32,16.14
47.0,11.58,2.85,8.54,10.23
58.71,20.0,6.81,10.27,12.88
16.52,19.48,22.98,8.86,13.65
4.37,3.8,3.3,3.91,5.72
0.01,0.01,0.02,0.24,0.38
23.58,18.93,15.19,8.75,12.65
58.36,67.09,77.12,16.42,25.2
5.92,18.2,55.94,9.91,17.39
16.82,29.4,51.41,11.27,18.44
47.47,31.68,21.14,11.49,16.09
0.99,7.05,50.13,8.08,15.16
4.71,12.48,33.07,7.92,13.67
15.45,2.94,0.56,4.68,5.43
6.87,8.2,9.77,5.75,8.87
11.01,7.69,5.37,5.63,7.95
22.96,28.3,34.88,10.7,16.6
75.04,71.86,68.81,16.96,25.25
31.81,26.21,21.6,10.29,14.94
31.08,37.72,45.77,12.34,19.11
0.23,3.45,51.05,7.63,14.77
45.51,31.59,21.93,11.43,16.11
1.04,4.04,15.77,4.99,8.96
86.4,68.1,53.68,16.62,23.95
0.61,2.91,13.75,4.49,8.2
37.4,2.38,0.15,6.5,6.89
17.01,37.03,80.61,13.1,22.08
58.73,31.91,17.34,11.83,15.99
48.84,12.73,3.32,8.81,10.63
1.48,5.47,20.12,5.7,10.19
56.52,52.05,47.94,14.44,21.37
36.15,12.51,4.33,8.09,10.17
29.86,48.52,78.83,14.34,23.22
63.13,67.0,71.12,16.38,24.81
31.75,39.16,48.29,12.58,19.53
63.79,26.32,10.86,11.28,14.58
79.5,11.34,1.62,10.19,11.46
5.5,15.97,46.4,9.16,15.97
1.06,2.24,4.73,3.21,5.38
58.03,32.88,18.63,11.93,16.25
2.71,4.39,7.12,4.31,6.98
2.53,1.86,1.36,2.76,3.93
97.34,73.19,55.03,17.28,24.7
24.73,28.58,33.01,10.72,16.47
5.73,1.0,0.17,2.81,3.23
14.46,26.79,49.63,10.85,17.89
90.04,22.66,5.71,11.88,14.27
0.06,1.78,56.77,7.77,15.31
8.57,21.56,54.25,10.29,17.66
42.13,23.11,12.68,10.05,13.61
5.19,17.71,60.44,10.05,17.83
12.05,6.28,3.27,5.28,7.09
50.45,29.15,16.84,11.21,15.31
55.42,41.56,31.16,13.03,18.61
2.62,12.67,61.27,9.45,17.27
2.49,0.52,0.11,1.91,2.23
2.7,1.22,0.55,2.39,3.13
4.1,5.18,6.54,4.58,7.14
61.34,1.07,0.02,7.97,8.1
96.21,35.63,13.2,13.44,17.07
5.02,8.86,15.63,6.19,10.15
98.27,58.32,34.61,15.8,21.68
48.1,20.12,8.41,9.84,12.74
10.19,17.99,31.76,8.83,14.46
0.05,0.7,9.19,3.26,6.3
29.73,2.57,0.22,5.92,6.39
64.8,20.45,6.45,10.59,13.13
73.67,16.5,3.7,10.51,12.43
50.69,26.93,14.31,10.9,14.69
3.71,8.52,19.56,6.35,10.77
78.22,9.97,1.27,9.97,11.1
15.23,36.94,89.62,13.37,22.84
15.4,31.67,65.12,11.99,20.06
8.66,7.11,5.83,5.36,7.77
93.35,11.09,1.32,10.81,11.96
98.92,6.52,0.43,10.6,11.26
46.88,64.93,89.94,16.33,25.81
48.56,15.6,5.01,9.21,11.45
2.99,11.48,44.04,8.37,15.0
16.34,35.84,78.61,12.91,21.77
99.2,36.64,13.54,13.64,17.32
9.54,16.33,27.93,8.37,13.66
0.07,0.65,6.27,2.76,5.27
58.37,50.84,44.28,14.29,20.95
21.48,29.44,40.36,10.99,17.34
12.85,25.98,52.52,10.83,18.08
12.41,19.09,29.37,8.94,14.36
20.99,14.19,9.6,7.68,10.78
2.63,5.57,11.8,5.06,8.49
78.91,34.03,14.68,12.71,16.54
45.71,12.75,3.56,8.65,10.53
6.45,24.36,92.05,12.13,21.73
0.33,1.05,3.35,2.4,4.23
1.7,4.83,13.73,5.01,8.71
9.1,28.75,90.79,12.55,22.07
1.92,10.16,53.65,8.71,16.04
91.95,29.13,9.23,12.63,15.66
36.13,50.77,71.35,14.46,22.9
1.91,5.2,14.15,5.15,8.91
93.08,20.94,4.71,11.82,13.99
30.48,3.06,0.31,6.08,6.63
12.41,24.98,50.27,10.61,17.7
40.92,35.97,31.62,12.02,17.64
1.86,7.99,34.32,7.22,13.08
8.37,19.81,46.87,9.74,16.59
0.29,2.45,20.74,5.09,9.65
18.37,0.48,0.01,4.4,4.51
36.97,18.2,8.96,9.07,12.07
27.12,3.38,0.42,5.86,6.51
2.85,8.51,25.4,6.73,11.77
53.3,37.29,26.09,12.41,17.52
21.53,36.55,62.06,12.52,20.4
29.36,46.03,72.16,13.91,22.41
37.33,38.86,40.45,12.47,18.83
45.85,32.06,22.42,11.51,16.24
16.99,16.4,15.82,8.1,12.08
41.53,5.41,0.7,7.28,8.12
6.76,19.3,55.14,10.03,17.45
50.54,56.69,63.58,15.08,23.06
5.75,3.58,2.23,3.89,5.39
0.09,1.42,22.01,4.99,9.69
31.42,0.5,0.01,5.69,5.78
18.07,2.89,0.46,4.93,5.61
0.18,0.8,3.46,2.29,4.15
15.08,24.85,40.94,10.28,16.68
50.5,28.76,16.38,11.15,15.2
19.47,32.02,52.68,11.67,18.93
3.57,10.97,33.73,7.7,13.5
5.6,18.28,59.61,10.09,17.81
3.48,10.98,34.59,7.75,13.63
0.28,0.58,1.2,1.63,2.72
6.13,6.57,7.05,5.13,7.79
7.07,21.48,65.31,10.74,18.82
64.1,68.02,72.18,16.5,25.0
98.75,76.52,59.3,17.64,25.34
14.59,21.33,31.18,9.4,14.99
22.37,18.81,15.82,8.71,12.69
10.8,9.43,8.24,6.16,9.03
35.42,36.0,36.58,12.0,18.05
5.69,9.48,15.78,6.36,10.33
78.16,26.02,8.66,11.78,14.73
74.47,29.43,11.63,12.04,15.45
44.71,18.27,7.47,9.42,12.15
1.13,4.61,18.92,5.41,9.76
2.74,3.57,4.65,3.81,5.97
90.39,36.65,14.86,13.36,17.22
9.33,25.5,69.74,11.4,19.76
24.03,31.08,40.21,11.24,17.58
6.55,12.22,22.82,7.34,12.11
3.02,9.18,27.96,7.02,12.31
53.37,54.72,56.1,14.8,22.29
21.15,12.01,6.82,7.21,9.82
14.43,6.9,3.3,5.62,7.43
53.36,18.44,6.38,9.83,12.35
0.58,6.56,74.66,9.4,18.04
29.11,46.74,75.05,14.06,22.72
21.17,39.88,75.15,13.27,21.94
0.74,6.49,56.64,8.39,15.91
86.23,51.5,30.76,14.83,20.38
4.3,11.55,30.98,7.64,13.21
11.59,9.77,8.24,6.28,9.15
2.25,7.67,26.17,6.62,11.73
76.09,56.48,41.92,15.2,21.67
9.08,24.99,68.8,11.31,19.6
45.85,3.39,0.25,7.27,7.77
36.49,27.93,21.38,10.67,15.29
73.86,0.3,0.0,8.63,8.66
76.09,25.29,8.4,11.62,14.52
1.6,10.89,73.95,9.87,18.47
67.07,6.9,0.71,9.03,9.87
2.14,1.46,0.99,2.46,3.45
46.09,36.17,28.38,12.12,17.44
72.41,9.28,1.19,9.6,10.69
1.49,4.48,13.49,4.89,8.56
1.42,7.64,41.14,7.6,14.02
1.05,7.53,53.84,8.36,15.7
23.35,14.92,9.54,7.92,11.01
23.9,19.43,15.79,8.86,12.84
13.24,24.97,47.07,10.5,17.36
84.96,34.17,13.75,12.93,16.63
29.4,5.24,0.93,6.39,7.35
4.53,0.41,0.04,2.32,2.51
36.55,25.08,17.21,10.19,14.34
0.43,0.52,0.63,1.45,2.24
22.74,11.92,6.24,7.27,9.77
25.79,15.64,9.49,8.16,11.24
8.5,5.34,3.36,4.75,6.58
82.38,75.51,69.2,17.4,25.71
97.68,94.18,90.81,19.41,28.94
0.71,3.87,20.95,5.42,10.0
60.37,42.59,30.05,13.25,18.73
82.19,56.93,39.44,15.35,21.63
5.26,6.85,8.92,5.28,8.27
0.74,1.25,2.12,2.32,3.77
29.47,39.9,54.01,12.78,20.13
31.99,46.28,66.95,13.84,22.02
83.92,69.5,57.56,16.75,24.33
48.55,36.89,28.03,12.26,17.56
58.16,54.42,50.92,14.76,21.9
71.59,33.63,15.8,12.44,16.41
73.44,2.06,0.06,8.81,9.05
29.18,33.67,38.86,11.64,17.87
47.5,55.86,65.7,15.0,23.1
12.68,25.23,50.2,10.65,17.73
24.44,29.95,36.69,11.0,17.06
1.69,7.85,36.43,7.34,13.37
60.78,1.66,0.05,8.01,8.22
38.2,22.77,13.57,9.86,13.55
6.31,4.11,2.68,4.15,5.79
